EthnologueLanguageID,EthnologueCountryID,EthnologueLangStatusID,Name
noi,IN,L,Noiri
nok,US,E,Nooksack
nom,PE,E,Nocamán
noo,CA,L,Nootka
nop,PG,L,Numanggang
noq,CD,L,Ngongo
nor,NO,L,Norwegian
nos,CN,L,"Yi, Southern"
not,PE,L,Nomatsiguenga
nou,PG,L,Ewage-Notu
now,TZ,L,Nyambo
noy,TD,N,Noy
noz,ET,L,Nayi
npa,NP,L,Nar Phu
npb,BT,L,Nupbikha
nph,IN,L,"Naga, Phom"
npn,PG,L,Mondropolon
npo,IN,L,"Naga, Pochuri"
nps,ID,L,Nipsan
npu,IN,L,"Naga, Puimei"
npy,ID,L,Napu
nqg,BJ,L,Ede Nago
nqk,BJ,L,"Ede Nago, Kura"
nqm,ID,L,Ndom
nqn,PG,L,Nen
nqo,GN,L,N'Ko
nra,GA,L,Ngom
nrb,ER,L,Nara
nre,IN,L,"Naga, Southern Rengma"
